Price,Close,High,Low,Open,Volume,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,price_change_5d,price_change_10d,price_change_20d,high_low_ratio,open_close_ratio,volatility_5d,volatility_10d,volatility_20d,volume_change,volume_ma_5,volume_ma_20,volume_ratio_5d,volume_ratio_20d,price_volume_trend,sma_5,sma_10,sma_20,ema_10,ema_20,price_to_sma_5,price_to_sma_20,rsi_14,macd,macd_signal,macd_hist,bollinger_upper,bollinger_lower,bollinger_mid,bollinger_width,bollinger_position,target
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-13,347.7142639160156,348.86136424667086,341.30964764646427,341.30964764646427,3839377,0.010640670743455862,-0.009265042176460311,-0.0005504609623416652,0.01762580785664823,0.00396481448253065,0.02812339861892421,0.07364248864462897,0.09811333738374972,0.021718167426201924,0.01876482634966531,0.010516481496764249,0.00944342006747216,0.01774309569306244,0.3386827734476605,4849585.4,6600788.85,0.791691801117679,0.5816542669744693,40853.54651699734,345.5538757324219,340.4875183105469,332.0539489746094,340.7362767678103,333.6560269613725,0.006251957611572712,0.04716195964470726,70.26808619671972,9.035440585434912,8.112601214340422,0.92283937109449,354.62637739146,309.4815205577588,332.0539489746094,0.1359563919450727,0.8468903445434257,0
2019-06-14,337.7249450683594,346.949537289853,336.14767841225955,346.56716060960616,5170880,-0.02914926959823052,0.010640670743455862,-0.009265042176460311,-0.0005504609623416652,0.009284221934785898,-0.010641270919753976,0.019036753320837763,0.08640840290497676,0.0319841901977571,-0.025513714356817506,0.01828131702650996,0.013292985871957527,0.018618037143473213,0.3468018379023472,4707790.8,6629748.3,1.0983665629322357,0.7799511785387087,-150727.37518009823,344.82738037109374,341.11842651367186,333.39701080322266,340.18876191336466,334.0435429715617,-0.020597074672814353,0.012981322942007933,50.08682359761743,8.250101104131602,8.140101192298658,0.10999991183294355,353.7478886876064,313.0461329188389,333.39701080322266,0.12208194569803885,0.6063328641084756,0
2019-06-17,328.8348999023437,339.923525082338,327.0186554718369,339.923525082338,7087101,-0.026675991399218526,-0.02914926959823052,0.010640670743455862,-0.009265042176460311,0.01762580785664823,-0.05351494044140548,-0.013761603922378574,0.04734353967070737,0.03924422138384207,-0.03262094077574766,0.016997457664835933,0.01592283420856156,0.01978191874587974,0.3705792824432206,4926706.6,6778207.45,1.4385068110205712,1.0455715692207088,-189055.44532139302,341.10886840820314,340.6595825195312,334.140234375,338.1244233659063,333.5474817268743,-0.035982554669822475,-0.015877568538191,45.64874005187794,6.831611000361306,7.878403153911188,-1.046792153549882,352.49134060698907,315.7891281430109,334.140234375,0.10984074555591503,0.3554491918474052,1
2019-06-18,329.9342346191406,332.0372468191626,326.15834681370274,330.173212602781,4977568,0.003337544762389308,-0.026675991399218526,-0.02914926959823052,0.010640670743455862,-0.0005504609623416652,-0.04982783801850499,-0.021544902854848558,0.014848634214582157,0.017818399513000398,-0.0007237957972317011,0.017670621236441517,0.015412578069231896,0.018249078085080535,-0.2976580974364553,4788590.4,6634166.9,1.039464139593146,0.7502928513902778,16612.856007836624,337.6484619140625,339.93309020996094,334.3816040039062,336.6352981392216,333.2033629547092,-0.022846919696276613,-0.013300281269999603,49.627807026855464,5.7301014548685885,7.448742814102669,-1.7186413592340806,352.35554886356493,316.4076591442475,334.3816040039062,0.10750558430510286,0.37628288003855537,0
2019-06-19,326.062744140625,332.65854790437817,319.5625196755049,331.2246801052954,4008250,-0.011803516030516253,0.003337544762389308,-0.026675991399218526,-0.02914926959823052,-0.009265042176460311,-0.05223676641410835,-0.03206584952373892,0.03160442494777005,0.04016413547456734,-0.015584394143061606,0.017672704621166463,0.015696727852298156,0.01722185146933926,-0.19473726928491986,5016635.2,6618748.95,0.7989917225793097,0.6055902754855206,-47311.44312931677,334.05421752929686,338.8529052734375,334.881069946289,334.7130155940222,332.5233040200345,-0.023922683712176207,-0.026332709122908526,51.99309271442934,4.492958251938546,6.857585901669845,-2.3646276497312986,351.1910442455171,318.57109564706093,334.881069946289,0.09740756204490159,0.2296646320870853,1
2019-06-20,333.1843566894531,334.57043497851095,324.24653229175584,324.2943219458749,3563847,0.02160613094303286,-0.011803516030516253,0.003337544762389308,-0.026675991399218526,0.010640670743455862,-0.041786917404320056,-0.014838708920613564,0.03998228623242284,0.03098555643288371,0.027413476406971966,0.021296548724555366,0.017487961985824262,0.01760817476126862,-0.11087207634254348,4961529.2,6457341.95,0.7182960850054052,0.5519061910605493,77000.94494293483,331.1482360839844,338.35105590820314,335.5215362548828,334.43507761137323,332.58626141712205,0.006148668129859258,-0.006965810873178047,51.61576157994995,4.0405905526612855,6.294186831868133,-2.253596279206848,350.3739484772992,320.66912403246636,335.5215362548828,0.088533286943069,0.4213198660786492,0
2019-06-21,328.64373779296875,334.4748184633234,327.5922168262162,332.180617917621,9764198,-0.01372166028588159,0.02160613094303286,-0.011803516030516253,0.003337544762389308,-0.02914926959823052,-0.026889358953193332,-0.03724449291946785,0.01475814235432038,0.020942439625741292,-0.010647460850739334,0.018497198396285934,0.01742549953488311,0.017811854753627,1.739791579155895,5880192.8,6673058.65,1.660523444061222,1.4632267618388157,-133981.00792008443,329.3319946289063,337.0796875,335.76051788330074,333.38210673529966,332.2107829767265,-0.0020898571871617033,-0.02119600045650849,45.82636474978655,3.277910186241172,5.690931502742742,-2.4130213165015695,349.9627295420492,321.55830622455227,335.76051788330074,0.08459727038951427,0.24944817534992528,1
2019-06-24,329.8863830566406,333.18431457299044,328.3569359985567,329.9342024246492,3310679,0.0037740012165078697,-0.01372166028588159,0.02160613094303286,-0.011803516030516253,-0.026675991399218526,0.003197602062947613,-0.05048845786241174,-0.02293328710297815,0.014633458130961681,-0.00014493607409338553,0.014298389106916639,0.01602798868683622,0.015032301661029522,-0.6609369248759601,5124908.4,6350755.6,0.6459976923685113,0.5213047404941863,12494.506573467057,329.54229125976565,335.32557983398436,335.37337036132806,332.7465206119071,331.9894115557659,0.0010441506477349982,-0.016360831805983245,43.318773347698205,2.7421418838831073,5.1011735789708155,-2.359031695087708,349.78172831657673,320.9650124060794,335.37337036132806,0.08592428158339017,0.30959012394994556,1
2019-06-25,333.2321472167969,336.48225978448835,329.3606799841269,330.2210126402611,2848907,0.010091084471192446,0.0037740012165078697,-0.01372166028588159,0.02160613094303286,0.003337544762389308,0.009995666565075334,-0.04033023390792123,-0.002575007483415659,0.02137122681542564,0.009118543221887765,0.014922467736699472,0.01670839141206853,0.015062923501098871,-0.1394795448305317,4699176.2,6292984.3,0.6062566881403596,0.45271160139395233,28748.56118757146,330.2018737792969,333.9251678466797,335.33035583496087,332.83481635825063,332.10776733300696,0.009177032833936671,-0.006257138912877491,46.854343314964204,2.558029478755941,4.592544758927841,-2.0345152801718998,349.75993614972856,320.9007755201932,335.33035583496087,0.08606187935976473,0.42729488410634436,0
2019-06-26,330.31658935546875,336.4822571428013,327.4488534841144,334.5704332285651,4732848,-0.008787829630798596,0.010091084471192446,0.0037740012165078697,-0.01372166028588159,-0.011803516030516253,0.013046094014988574,-0.03987215816479728,-0.00014466004888513684,0.027347714131807154,-0.012714344875150064,0.01427240873200414,0.016692727135450502,0.014978189636394435,0.6612855386293761,4844095.8,6097451.45,0.9770343517979145,0.7762010142778586,-41591.46189246587,331.0526428222656,332.5534301757813,335.3279663085937,332.37695690319936,331.9371789541938,-0.0022233728766577476,-0.014944703265557968,43.35219669206079,2.1520504205161615,4.104445891245505,-1.9523954707293436,349.7610246068449,320.89490801034253,335.3279663085937,0.08608323640366346,0.32639240937133257,1
