Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,
2018-08-16,323.8023376464844,325.54321645108945,317.8833791847761,319.0584465881791,3012465
2018-08-17,323.28009033203125,326.41364272178276,318.7103018686859,323.8458722620669,3362891
2018-08-20,322.54022216796875,325.4126649871203,319.7113123740887,324.15053146770447,2837782
2018-08-21,320.5382385253906,322.4096575840297,316.05548633673465,316.8388744861592,3451323
2018-08-23,321.9743957519531,327.9368867454298,320.4076196938246,324.06345014542234,4746745
2018-08-24,321.1474914550781,322.75780061646304,317.70926697254805,322.06144911565076,2318341
2018-08-27,330.0260009765625,334.0735114395811,319.7983627771797,322.06149071013016,6589318
2018-08-28,327.98040771484375,335.7272806302422,326.76177795978526,332.8113052955797,4072000
2018-08-29,326.32659912109375,332.89840544652304,324.4551507530033,329.02493911792317,4481303
2018-08-30,333.46417236328125,335.11798502030996,326.97940289986974,328.4156388779195,7796683
2018-08-31,334.1169738769531,335.9884220659428,327.28405849455623,330.6352166588202,8709625
2018-09-03,334.0734558105469,337.07646786134393,331.15750979955914,336.85886170971486,4176986
2018-09-04,329.3296203613281,333.76883925563635,327.02295960451465,332.7678449848898,3202349
2018-09-05,323.8458557128906,328.8943892761103,318.79732214967095,326.4136260413882,6639329
2018-09-06,324.0634460449219,326.1525004119575,320.40761563958273,325.4996525010424,2611929
2018-09-07,339.12200927734375,340.60174888010914,321.0169288122687,325.45617709451363,5463110
2018-09-10,338.0774841308594,345.9984605684158,332.6808040597266,338.8609016966197,5613805
2018-09-11,329.6342468261719,341.55922933546833,328.54621603646495,338.16453790284515,5815679
2018-09-12,327.8933410644531,332.6372315488591,323.6282253515858,331.54917137487973,4065958
2018-09-14,333.8994445800781,337.90345156545703,324.67280056554023,329.0249833528631,3596796
2018-09-17,332.5502014160156,340.34060748505453,328.24152312833417,330.8963593512599,3424364
2018-09-18,325.2820739746094,334.94392913706315,324.2810797248084,330.93992266391047,2955053
2018-09-19,322.1050109863281,331.11401880829476,313.6182520997715,325.97844813530094,2182182
2018-09-21,322.4966735839844,330.6352562666129,310.9633993124753,317.62224236862124,6106651
2018-09-24,310.0494079589844,324.58569292859295,305.0879407098373,322.4096020112989,7884016
2018-09-25,313.79229736328125,316.53419982081994,299.4301139656022,312.66073354217554,6854558
2018-09-26,314.4886779785156,317.7092966016354,310.87638002087914,315.96841768725295,4398347
2018-09-27,310.5716857910156,316.36007406380423,308.70023758397497,314.66272845632244,4483893
2018-09-28,294.6861877441406,312.4866229681677,291.72670895518456,310.5716713060099,12408231
2018-10-01,284.4150695800781,295.94834289644615,280.01935461388865,295.0779182967002,10867591
2018-10-03,277.1904602050781,284.89383033108885,275.3625448674432,283.7622665005481,7389608
2018-10-04,269.9658203125,276.3200200905561,263.00233510530404,274.4921048552428,8969681
2018-10-05,259.9123229980469,274.97088876711666,254.08040073951545,268.5296515199787,7954131
2018-10-08,256.95281982421875,260.08640158083665,253.29698917847202,260.08640158083665,10015308
2018-10-09,251.55609130859375,258.4325397576014,249.81521268720965,257.8667578898948,9499251
2018-10-10,256.86578369140625,264.43858417730354,247.37803131018555,251.55611085215918,11334821
2018-10-11,248.37904357910156,256.60466314332723,245.68068867885881,251.5125960946444,5194191
2018-10-12,252.47006225585938,254.68968629978207,247.76970446645356,250.6856799957658,9995231
2018-10-15,253.384033203125,255.03787543626675,247.2474685740473,252.47007551479646,2892892
2018-10-16,255.90829467773438,257.5621368758227,251.7302151084798,254.51559166333337,3341220
2018-10-17,251.1208953857422,259.6946899965712,247.7697075054447,258.08438085110015,4302545
2018-10-19,250.07638549804688,255.2119560166895,247.72619167446044,249.81524630121504,4139025
2018-10-22,248.7272186279297,252.42655308539622,240.98032972647945,251.94783718366435,7247010
2018-10-23,248.85777282714844,252.94881583170766,246.33349124184008,246.3770242638263,7364748
2018-10-24,274.9273681640625,286.15600082832043,249.51062328393562,252.42656980798233,13531404
2018-10-25,257.2574462890625,270.18342232273983,254.29796733189045,267.2239433655678,16981629
2018-10-26,259.34649658203125,266.3535145911482,249.8152119478646,258.606612117403,8719999
2018-10-29,255.99530029296875,264.2209183189498,252.42650661858798,260.34748194973656,6271130
2018-10-30,254.68971252441406,258.6937192407108,251.86077327100122,256.30002181594267,5334354
2018-10-31,254.4720916748047,256.77872291647856,242.76471495443002,254.9508075529962,8163543
2018-11-01,255.47311401367188,259.39008435859733,250.11993692838152,255.0379016362251,5268238
2018-11-02,262.9152526855469,267.9202521999989,255.47302345776913,255.8211991311014,4910534
2018-11-05,266.1189270019531,268.0498609094785,261.55489599872305,264.0124374374153,4841471
2018-11-06,267.7426452636719,270.28797910187444,265.8555781946808,266.82105989880307,2943744
2018-11-07,268.7958679199219,271.20954226268714,266.77714171837624,271.20954226268714,307017
2018-11-09,263.0908508300781,266.2944815072663,253.39225527022455,254.3577370797792,9425801
2018-11-12,259.9750061035156,267.6987712199801,258.0440722543831,264.18798510518764,6792319
2018-11-13,261.159912109375,266.8210841101104,254.79657693646047,259.7994821082533,4317488
2018-11-14,264.4512634277344,273.66711643973355,261.5548482354018,263.31022616535995,5418605
2018-11-15,267.1721496582031,269.1908463670876,261.5548743379021,264.45128981928946,4493893
2018-11-16,292.0549621582031,295.609674232743,265.06566651628236,265.8555926262023,25046229
2018-11-19,295.6535339355469,297.45283810152756,279.98658224896207,289.11467322096183,13062401
2018-11-20,291.3528137207031,297.9355705907956,288.14918338450855,292.362162046935,11910774
2018-11-21,292.0110778808594,297.9355679269512,289.77292927146516,290.51898871457377,9406787
2018-11-22,287.7542724609375,298.242794415483,282.09310022539535,291.3089550925719,9903933
2018-11-26,293.6348571777344,297.45285831236214,287.9297887876212,287.9297887876212,6623860
2018-11-27,288.01751708984375,294.8196960517087,284.4628350047286,293.0643180382709,7734474
2018-11-28,275.6858215332031,292.0988315609497,272.9649618810849,291.39666847912616,10180878
2018-11-29,278.4067077636719,282.61965648714295,273.84264778332033,281.7419675047328,9217365
2018-11-30,275.15924072265625,284.6384135251147,272.70166969833235,279.9865900876279,6595578
2018-12-03,280.6448669433594,281.74200804918786,276.0369396827357,277.79234762010054,3368628
2018-12-04,279.5915832519531,283.93622100699656,272.30666361615704,281.7419688207912,7156660
2018-12-05,274.54486083984375,281.610359482327,272.26284529417785,280.60101102481104,5027352
2018-12-06,266.821044921875,272.96495691611375,265.0656372492453,272.96495691611375,6566491
2018-12-07,266.77716064453125,270.1563168521041,262.38865612454333,267.6987459993301,5298884
2018-12-10,258.87786865234375,264.75846229318506,255.2792902142313,261.9498099083302,5748768
